0,1,2,3,4,5,6,7,8,9
0.010834138,-0.012397174,-0.038348608,0.018898575,-0.01322182,0.027101476,0.0065378286,-0.0009507248,0.03807637,-0.018807914
0.007983674,-0.017124977,-0.010869753,0.032578204,0.011837609,-0.0352829,-0.009359978,-0.0078042457,-0.020954467,0.0055142627
0.0041787396,0.007115807,-0.004830712,0.022996163,0.037730135,0.0064309444,0.010771681,0.008277746,0.05841184,0.008246775
0.016144715,0.0011255905,-0.014256165,0.020761296,0.04603932,-0.017566685,-0.011934756,0.003874377,-0.018511627,0.0059436215
-0.007944295,-0.0147046745,-0.024397222,0.00373056,-0.034709115,-0.0086081205,0.01261922,0.014389678,-0.0044217603,-0.028615486
0.0019909933,-0.017835077,-0.025305083,0.0037783275,-0.01799688,-0.023800032,0.009460139,0.004445813,-0.019867726,-0.010103855
-0.015059642,-0.019396015,-0.019250706,-0.006310134,0.03534741,-0.027861783,-0.044305854,0.013710336,-0.014820799,0.0145518
-0.004919704,-0.012564714,-0.0023459075,0.0023441291,-0.005444248,0.016078774,-0.008636151,-0.0036905897,-0.00081197615,0.02179194
0.012897578,0.038917992,-0.0017827674,-0.0026425025,0.008558904,0.014028619,0.0046895067,0.021013068,-0.022338578,0.04053109
0.033892732,-0.028009418,0.023889959,0.036777828,0.014080781,0.018672237,0.02305613,0.0064839437,0.014743078,-0.017688952
